Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
202204691,This Girl's a Killer,Emma C. Wells,"Wells, Emma C.",,"=""1464218625""","=""9781464218620""",0,3.66,Poisoned Pen Press,Paperback,432,2024,2024,,2024/11/28,"to-read, test-shelf","to-read (#55), test-shelf (#1)",to-read,,,,0,0
55987278,"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,"Garber, Stephanie",,"=""1250268397""","=""9781250268396""",0,4.06,Flatiron Books,Hardcover,408,2021,2021,,2024/10/28,to-read,to-read (#54),to-read,,,,0,0
173297188,Song of Death (Supernatural Saviors #1),C.A. Varian,"Varian, C.A.",,"=""""","=""""",0,3.18,,Kindle Edition,347,2023,,,2024/09/29,to-read,to-read (#53),to-read,,,,0,0
197363933,"The Games Gods Play (The Crucible, #1)",Abigail Owen,"Owen, Abigail",,"=""1649376561""","=""9781649376565""",0,4.15,Entangled: Red Tower Books,Hardcover,509,2024,2024,,2024/08/13,to-read,to-read (#52),to-read,,,,0,0
193342502,No Witch Here (A Witchy Duet),Melanie Hoffer,"Hoffer, Melanie",,"=""1509249265""","=""9781509249268""",0,3.78,Wild Rose Press,Paperback,354,2023,,,2024/07/19,to-read,to-read (#51),to-read,,,,0,0
143189596,Realms of Wrath and Ruin,Alli Earnest,"Earnest, Alli",,"=""""","=""""",0,4.22,Dragon Page Entertainment,Unknown Binding,,,,,2024/07/11,to-read,to-read (#50),to-read,,,,0,0
203873543,"The Four Horsemen Series 4 Books Set by Laura Thalassa - Pestilence, War, Famine, Death",Laura Thalassa,"Thalassa, Laura",,"=""""","=""""",0,4.21,generic,Paperback,2000,2023,2021,,2024/07/11,to-read,to-read (#49),to-read,,,,0,0
22745487,"Into the Veil (Veilwalker Trilogy, #1)",Jennifer R. McDonald,"McDonald, Jennifer R.",,"=""""","=""""",0,4.24,,Kindle Edition,243,2013,2013,,2024/07/11,to-read,to-read (#48),to-read,,,,0,0
199531937,Us in Ruins,Rachel   Moore,"Moore, Rachel",,"=""0063284685""","=""9780063284685""",0,3.59,HarperCollins,Hardcover,368,2024,2024,,2024/07/11,to-read,to-read (#47),to-read,,,,0,0
209111972,"A Blackened Bond (The Blackened Blade, #2)",Isla Davon,"Davon, Isla",,"=""""","=""""",0,4.33,,Kindle Edition,387,2024,2024,,2024/07/09,to-read,to-read (#46),to-read,,,,0,0
53487125,"Confident Women: Swindlers, Grifters, and Shapeshifters of the Feminine Persuasion",Tori Telfer,"Telfer, Tori",,"=""0062956035""","=""9780062956033""",0,3.72,Harper Perennial,Paperback,352,2021,2021,,2024/07/05,to-read,to-read (#45),to-read,,,,0,0
40727470,"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)",Kerri Maniscalco,"Maniscalco, Kerri",,"=""0316273503""","=""9780316273503""",0,3.93,Jimmy Patterson,Kindle Edition,337,2016,2016,2024/07/03,2024/01/03,,,read,,,,1,0
196864520,"Butcher & Blackbird (The Ruinous Love Trilogy, #1)",Brynne Weaver,"Weaver, Brynne",,"=""""","=""9798857497074""",0,4.03,Independently Published,Paperback,360,2023,2023,2024/06/27,2023/11/23,,,read,,,,1,0
174859205,The Beast's Bargain,Sav A. Villescas,"Villescas, Sav A.",,"=""""","=""""",0,4.80,Kindle Vella,Kindle Edition,,2024,,,2024/02/25,to-read,to-read (#44),to-read,,,,0,0
63140375,Upon a Dream (Fairy Tales Reimagined #7),Laura Burton,"Burton, Laura",Jessie Cal,"=""196206817X""","=""9781962068178""",0,4.07,Burton & Burchell LLC,Kindle Edition,271,2023,,,2024/02/18,to-read,to-read (#43),to-read,,,,0,0
188563996,"Accomplice to the Villain (Assistant to the Villain, #3)",Hannah Nicole Maehrer,"Maehrer, Hannah Nicole",,"=""1529917778""","=""9781529917772""",0,4.45,Penguin,Kindle Edition,336,2025,2025,,2024/01/11,to-read,to-read (#42),to-read,,,,0,0
188563943,"Apprentice to the Villain (Assistant to the Villain, #2)",Hannah Nicole Maehrer,"Maehrer, Hannah Nicole",,"=""152991776X""","=""9781529917765""",0,4.12,Penguin,Kindle Edition,336,2024,2024,,2024/01/11,to-read,to-read (#41),to-read,,,,0,0
123257687,"Assistant to the Villain (Assistant to the Villain, #1)",Hannah Nicole Maehrer,"Maehrer, Hannah Nicole",,"=""1649375808""","=""9781649375803""",0,3.92,Entangled Publishing: Red Tower Books,Paperback,342,2023,2023,2024/01/11,2023/05/03,,,read,,,,1,0
200794570,"Taming Seraphine (Morally Black, #1)",Gigi Styx,"Styx, Gigi",,"=""""","=""""",0,3.94,,Kindle Edition,544,2023,,,2024/01/10,to-read,to-read (#40),to-read,,,,0,0
60168787,Ask for Andrea,Noelle W. Ihli,"Ihli, Noelle W.",,"=""""","=""""",0,4.09,Dynamite Books,ebook,272,2022,2022,,2024/01/09,to-read,to-read (#39),to-read,,,,0,0
58521183,"Cities of Smoke and Starlight (Gate Chronicles, #1)",Alli Earnest,"Earnest, Alli",,"=""""","=""9780578393476""",0,3.68,Dragon Page Entertainment,Paperback,488,2022,2022,,2024/01/09,to-read,to-read (#38),to-read,,,,0,0
59929536,Secrets of Isoria,Cristina Macari,"Macari, Cristina",,"=""""","=""9798985059403""",0,3.73,Cristina Macari,Paperback,375,2021,,,2024/01/08,to-read,to-read (#37),to-read,,,,0,0
138358709,A Ship of Bones & Teeth,Karina Halle,"Halle, Karina",,"=""""","=""""",0,3.78,Metal Blonde Books,Kindle Edition,442,2023,2023,2024/01/04,2023/07/23,,,read,,,,1,0
